id,name,buildingId,floorId
14791,221hall-3042-clwa-221hall,10011,13374
14792,258hall-3042-clwa-258hall,10011,13374
14793,100-3051-clwa-100,10006,13375
14794,100-3051-clwb-100,10006,13375
14795,100-3051-clwc-100,10006,13375
14796,100-3051-clwd-100,10006,13375
14797,100-3051-clwe-100,10006,13375
14798,100-3051-clwf-100,10006,13375
14799,110-3051-clwa-110,10006,13375
14800,110-3051-clwb-110,10006,13375
14801,114-3111-clwa-114,10035,13240
14802,305d-3113-clwa-305d,10035,13376
14803,-100-3131a-clwa-100,10038,13377
14804,-100hall-3131b-clwa-100hall,10038,13377
14805,-120-3131a-clwa-120,10038,13377
14806,102-3151-clwa-102,10034,13378
14807,103-3151-clwa-103,10034,13378
14808,101b-3171-clwa-101b,10028,13379
14809,120a-3171-clwa-120a,10028,13379
14810,108-3231-clwa-108,10039,13380
14811,117hallway-3231-clwa-117hallway,10039,13380
14812,141-3231-clwa-141,10039,13380
14813,208-3232-clwa-208,10039,13381
14814,101-4001-clwa-101,10019,13382
14815,101-4001-clwb-101,10019,13382
14816,101-4001-clwc-101,10019,13382
14817,101-4001-clwd-101,10019,13382
14818,104-4001-clwa-104,10019,13382
14819,104-4001-clwb-104,10019,13382
14820,104-4001-clwc-104,10019,13382
14821,104-4001-clwd-104,10019,13382
14822,108-4001-clwa-108,10019,13382
14823,114-4001-clwa-114,10019,13382
14824,127-4001-clwa-127,10019,13382
14825,hwy152-4001-clwa-hwy152,10019,13382
14826,164-4001-clwa-164,10019,13382
14827,184-4001-clwa-184,10019,13382
14828,188-4001-clwa-188,10019,13382
14829,190-4001-clwa-190,10019,13382
14830,192-4001-clwa-192,10019,13382
14831,hwy210-4002-clwa-hwy210,10019,13383
14832,211-4002-clwa-211,10019,13383
14833,237-4002-clwa-237,10019,13383
14834,hwy240-4002-clwa-hwy240,10019,13383
14835,251-4002-clwa-251,10019,13383
14836,261-4002-clwa-261,10019,13383
14837,270-4002-clwa-270,10019,13383
14838,293-4002-clwa-293,10019,13383
14839,307-4003-clwa-307,10019,13384
14840,hwy310-4003-clwa-hwy310,10019,13384
14841,334hall-4003-clwa-334hall,10019,13384
14842,hwy340-4003-clwa-hwy340,10019,13384
14843,345-4003-clwa-345,10019,13384
14844,361-4003-clwa-361,10019,13384
14845,380-4003-clwa-380,10019,13384
14846,385-4003-clwa-385,10019,13384
14847,hwy410-4004-clwa-hwy410,10019,13385
14848,411-4004-clwa-411,10019,13385
14849,hwy440-4004-clwa-hwy440,10019,13385
14850,441-4004-clwa-441,10019,13385
14851,453-4004-clwa-453,10019,13385
14852,463-4004-clwa-463,10019,13385
14853,481-4004-clwa-481,10019,13385
14854,491-4004-clwa-491,10019,13385
14855,hwy510-4005-clwa-hwy510,10019,13386
14856,513-4005-clwa-513,10019,13386
14857,539-4005-clwa-539,10019,13386
14858,hwy540-4005-clwa-hwy540,10019,13386
14859,553-4005-clwa-553,10019,13386
14860,563-4005-clwa-563,10019,13386
14861,581-4005-clwa-581,10019,13386
14862,591-4005-clwa-591,10019,13386
14863,100-4111-clwa-100,10027,13387
14864,100-4111-clwb-100,10027,13387
14865,100-4111-clwc-100,10027,13387
14866,100-4111-clwd-100,10027,13387
14867,100-4111-clwe-100,10027,13387
14868,100-4111-clwf-100,10027,13387
14869,100-4111-clwg-100,10027,13387
14870,100-4111-clwh-100,10027,13387
14871,100-4111-clwI-100,10027,13387
14872,100-4111-clwJ-100,10027,13387
14873,120-4131-clwa-120,10036,13388
14874,120-4131-clwb-120,10036,13388
14875,140-4131-clwa-140,10036,13388
14876,140-4131-clwb-140,10036,13388
14877,210-4132-clwa-210,10036,13389
14878,220-4132-clwa-220,10036,13389
14879,230-4132-clwa-230,10036,13389
14880,240-4132-clwa-240,10036,13389
14881,106-4151-clwa-106,10047,13390
14882,110-4151-clwa-110,10047,13390
14883,110-4151-clwb-110,10047,13390
14884,114-4151-clwa-114,10047,13390
14885,118-4151-clwa-118,10047,13390
14886,118-4151-clwb-118,10047,13390
14887,120-4151-clwa-120,10047,13390
14888,120-4151-clwb-120,10047,13390
14889,122-4151-clwa-122,10047,13390
14890,122-4151-clwb-122,10047,13390
14891,124-4151-clwa-124,10047,13390
14892,124-4151-clwb-124,10047,13390
14893,210-4152-clwa-210,10047,13391
14894,220-4152-clwa-220,10047,13391
14895,222-4152-clwa-222,10047,13391
14896,226-4152-clwa-226,10047,13391
14897,235hall-4152-clwa-235hall,10047,13391
14898,246-4152-clwa-246,10047,13391
14899,252-4152-clwa-252,10047,13391
14900,256-4152-clwa-256,10047,13391
14901,263hall-4152-clwa-263hall,10047,13391
14902,281hall-4152-clwa-281hall,10047,13391
14903,126-4231-clwa-126,10049,13392
14904,132-4231-clwa-132,10049,13392
14905,172hall-4231-clwa-172hall,10049,13392
14906,178-4231-clwa-178,10049,13392
14907,100-4501-clwa-100,10091,13393
14908,101-4501-clwa-101,10091,13393
14909,109-4501-clwa-109,10091,13393
14910,110-4501-clwa-110,10091,13393
14911,110-4501-clwb-110,10091,13393
14912,200-4502-clwa-200,10091,13394
14913,201-4502-clwa-201,10091,13394
14914,218-4502-clwa-218,10091,13394
