"space_id","space_name","space_type","building_id","floor_id","lattitude","longitude"
1463,"100-5011-clwf-100",Room,106,356,,
2368,"3036hall-8363-clwa-3036hall",Room,53,492,,
2424,"3119hall-8503-clwa-3119hall",Room,55,496,,
1029,"106-0901-clwa-106",Room,83,289,,
2460,game-c042b-clwa-game,Room,139,500,,
1462,"100-5011-clwe-100",Room,106,356,,
1495,"111-5061-clwa-111",Room,32,362,,
2494,trailer-m791-clwa-trailer,Room,147,508,,
852,"3000-0033-clwa-3000",Room,65,254,,
1617,"209hall-6252-clwa-209hall",Room,110,379,,
1867,"4619hall-2224-clwa-4619hall",Room,22,432,,
2322,"4006-7214-clwa-4006",Room,47,486,,
2526,"200-t202-clwa-200",Room,151,516,,
1245,"100-2121-clwa-100",Room,88,312,,
999,b309hall-845b-clwa-b309hall,Room,54,287,,
543,office-0231-clwa-office,Room,7,168,,
1581,"100-6101-clwe-100",Room,77,374,,
1314,"355-3033-clwa-355",Room,26,327,,
2538,suite-f-twr1-clwa-suite-f,Room,153,518,,
697,wellnesslab-6801-clwc-wellnesslab,Room,41,220,,
1735,"250-8392-clwb-250",Room,81,408,,
773,"226h-hwy-0022-clwa-226h-hwy",Room,64,251,,
1011,"5000-0085-clwa-5000",Room,3,164,,
820,"114-0061-clwa-114",Room,70,260,,
2318,"3100-7213-clwa-3100",Room,47,485,,
1856,"3107hall-2223-clwa-3107hall",Room,22,431,,
